id,name,price,latitude,longitude,room_type,neighbourhood_cleansed,number_of_reviews,availability_365,last_review
1135,Listing 135,$124.41,37.79215959677427,-122.39231643800333,Entire home/apt,Downtown,39,325,2023-02-20
1136,Listing 136,$57.96,37.7685661704891,-122.42579558133022,Shared room,Uptown,46,201,2024-03-16
1137,Listing 137,$55.09,37.74832464700805,-122.40215137452398,Hotel room,Midtown,22,176,2024-02-09
1138,Listing 138,$53.46,37.74112339792203,-122.45627651947427,Shared room,Old Town,25,194,2024-03-16
1139,Listing 139,$76.10,37.732918570175926,-122.41674176521326,Private room,Midtown,4,151,2023-12-29
1140,Listing 140,$46.86,37.76362195955124,-122.42402457496438,Entire home/apt,Old Town,39,95,2024-03-03
1141,Listing 141,$114.02,37.73151733726638,-122.46791434409752,Shared room,Uptown,31,81,2024-01-06
1142,Listing 142,$55.64,37.76356765269404,-122.42995501836839,Entire home/apt,Riverside,27,302,2023-08-15
1143,Listing 143,$137.97,37.79791178686033,-122.4623620622527,Entire home/apt,Midtown,0,187,2023-12-24
1144,Listing 144,$147.38,37.801503700575005,-122.44637311510533,Private room,Old Town,0,239,2023-03-19
1145,Listing 145,$87.84,37.81512921405796,-122.40720512278817,Hotel room,Midtown,26,101,2024-08-01
1146,Listing 146,$159.24,37.73509574013931,-122.46317137415042,Hotel room,Harbor,9,176,2023-02-27
1147,Listing 147,$157.58,37.77073368852898,-122.43895921493937,Hotel room,Downtown,51,259,2023-03-20
1148,Listing 148,$51.08,37.76627116589273,-122.41456836286618,Entire home/apt,Riverside,13,298,2023-07-12
1149,Listing 149,$142.96,37.78050058340701,-122.41986326981272,Entire home/apt,Riverside,50,316,2023-12-18
1150,Listing 150,$53.85,37.744774372359835,-122.42622417256908,Hotel room,Midtown,24,147,2024-01-17
1151,Listing 151,$119.16,37.75874165595231,-122.39255352114263,Entire home/apt,Harbor,21,173,2023-04-07
1152,Listing 152,$296.44,37.79237336550025,-122.40434359135895,Private room,Old Town,13,315,2023-12-25
1153,Listing 153,$127.23,37.81676965076928,-122.40015200371882,Hotel room,Uptown,0,80,2023-11-14
1154,Listing 154,$287.34,37.80131847838148,-122.40298836000053,Entire home/apt,Harbor,43,148,2023-01-19
1155,Listing 155,$139.54,37.75088660700639,-122.37488306864039,Shared room,Riverside,49,365,2023-06-08
1156,Listing 156,$55.00,37.77076897127247,-122.41602292415864,Entire home/apt,Harbor,50,120,2023-05-15
1157,Listing 157,$214.58,37.73542527613211,-122.45191540328314,Private room,Harbor,10,235,2023-09-01
1158,Listing 158,$237.17,37.79838003594349,-122.44659970556646,Private room,Old Town,8,353,2023-07-18
1159,Listing 159,$146.24,37.78783068250651,-122.41295806066361,Hotel room,Riverside,28,44,2024-05-29
1160,Listing 160,$294.81,37.73996977314447,-122.40953365524233,Shared room,Downtown,29,84,2024-07-21
1161,Listing 161,$44.22,37.7911400977119,-122.41840906124476,Entire home/apt,Old Town,32,226,2024-04-05
1162,Listing 162,$306.45,37.81464132630118,-122.44779619930931,Hotel room,Old Town,37,284,2024-02-10
1163,Listing 163,$295.62,37.7573961487679,-122.43138338819554,Entire home/apt,Old Town,27,277,2023-04-12
1164,Listing 164,$151.40,37.74868793973133,-122.38702384168472,Private room,Harbor,17,77,2023-03-23
1165,Listing 165,$47.67,37.745592392843704,-122.38650369007176,Hotel room,Downtown,26,134,2023-05-05
1166,Listing 166,$46.04,37.7822810568341,-122.4637192848989,Hotel room,Midtown,46,76,2024-08-11
1167,Listing 167,$86.82,37.79185443277924,-122.44087280122248,Entire home/apt,Midtown,13,293,2023-07-11
1168,Listing 168,$50.65,37.815340367798555,-122.41559180400719,Entire home/apt,Riverside,22,218,2024-02-01
1169,Listing 169,$147.87,37.745365026106924,-122.4683757768891,Entire home/apt,Old Town,26,331,2023-04-17
1170,Listing 170,$156.23,37.75385472581797,-122.40572043837973,Hotel room,Harbor,35,143,2023-05-19
1171,Listing 171,$60.85,37.79160450575962,-122.37563948492878,Entire home/apt,Old Town,32,351,2023-02-12
1172,Listing 172,$161.00,37.81891227022962,-122.41569693023459,Shared room,Downtown,17,201,2024-01-01
1173,Listing 173,$38.49,37.80657982770781,-122.43680753136186,Entire home/apt,Old Town,11,235,2024-03-26
1174,Listing 174,$196.59,37.78920684911127,-122.43326530730404,Shared room,Downtown,33,194,2023-07-04
1175,Listing 175,$295.99,37.749376641900255,-122.45974020922179,Shared room,Harbor,20,293,2024-03-12
1176,Listing 176,$71.56,37.72423551628501,-122.38299628249436,Shared room,Midtown,12,272,2023-02-28
1177,Listing 177,$59.91,37.78711838888937,-122.42937897684924,Private room,Downtown,37,296,2024-03-24
1178,Listing 178,$50.15,37.78451628756995,-122.43378494174566,Entire home/apt,Midtown,32,256,2024-01-15
1179,Listing 179,$158.98,37.76439392891756,-122.46231145711697,Private room,Midtown,16,258,2023-10-13
1180,Listing 180,$92.22,37.738604804947265,-122.41822547257917,Entire home/apt,Old Town,24,221,2023-08-08
1181,Listing 181,$104.59,37.789398064104084,-122.37013711564899,Private room,Downtown,28,226,2023-06-26
1182,Listing 182,$268.24,37.81675612363631,-122.37134253403575,Shared room,Harbor,24,303,2023-11-04
1183,Listing 183,$79.96,37.791180910400726,-122.37726755432769,Private room,Old Town,17,197,2023-07-25
1184,Listing 184,$75.97,37.756089652444444,-122.41277225928835,Hotel room,Midtown,42,328,2023-03-09
1185,Listing 185,$135.12,37.759815998077094,-122.398306640149,Hotel room,Midtown,11,249,2024-08-11
1186,Listing 186,$66.16,37.727416501976535,-122.4234166800379,Shared room,Uptown,34,312,2023-07-06
1187,Listing 187,$62.92,37.7632618286482,-122.37892877290531,Entire home/apt,Downtown,12,191,2023-06-15
1188,Listing 188,$156.56,37.814748313680965,-122.41811022065959,Shared room,Downtown,20,199,2024-07-18
1189,Listing 189,$134.20,37.73251702951269,-122.43971753938911,Entire home/apt,Midtown,12,106,2024-08-17
1190,Listing 190,$81.65,37.810200089369076,-122.43623804133942,Entire home/apt,Downtown,43,365,2024-08-13
1191,Listing 191,$131.90,37.78511299774856,-122.39330409990838,Hotel room,Midtown,13,119,2024-07-12
1192,Listing 192,$114.67,37.7444877910649,-122.38926506855712,Hotel room,Old Town,15,68,2023-06-11
1193,Listing 193,$254.40,37.76156217462142,-122.42355578422247,Shared room,Midtown,43,340,2023-11-23
1194,Listing 194,$155.23,37.75705401980503,-122.41383487842516,Shared room,Uptown,23,130,2023-09-11
1195,Listing 195,$76.65,37.72968116525606,-122.44097879950301,Hotel room,Midtown,0,313,2023-06-13
1196,Listing 196,$164.62,37.73898341012234,-122.45406575881074,Hotel room,Riverside,15,276,2023-04-03
1197,Listing 197,$191.92,37.77054444630238,-122.37333133694476,Private room,Midtown,22,223,2024-05-21
1198,Listing 198,$249.71,37.73074970843712,-122.45660650560077,Shared room,Harbor,26,139,2023-02-16
1199,Listing 199,$207.59,37.725115768738306,-122.4138183134834,Shared room,Midtown,21,286,2024-04-06
1200,Listing 200,$294.42,37.78803986401189,-122.45811889802765,Entire home/apt,Riverside,69,14,2024-07-25
1201,Listing 201,$171.03,37.79549651722928,-122.45009421184476,Hotel room,Midtown,29,206,2023-12-08
1202,Listing 202,$244.36,37.809313169207805,-122.45602190142277,Shared room,Uptown,23,102,2023-11-03
1203,Listing 203,$158.63,37.77073149862013,-122.41902858992492,Hotel room,Harbor,9,160,2023-01-18
1204,Listing 204,$147.65,37.761654026943226,-122.43923221662882,Entire home/apt,Midtown,31,0,2024-08-15
1205,Listing 205,$94.15,37.792140011229634,-122.41164767229523,Private room,Midtown,10,109,2024-01-25
1206,Listing 206,$78.24,37.777257027140415,-122.39994790888586,Private room,Downtown,14,112,2024-02-27
1207,Listing 207,$93.77,37.761037740932274,-122.39250276981929,Hotel room,Harbor,21,60,2024-06-15
1208,Listing 208,$57.13,37.76783709833434,-122.43231752238144,Private room,Riverside,5,270,2023-12-29
1209,Listing 209,$115.20,37.78100765800788,-122.45077358308633,Private room,Old Town,14,177,2023-11-01
1210,Listing 210,$115.72,37.76890030795116,-122.4220196576798,Shared room,Old Town,2,297,2024-01-24
1211,Listing 211,$210.41,37.80183774601306,-122.37453911366086,Private room,Old Town,61,258,2023-03-22
1212,Listing 212,$162.97,37.794733849971806,-122.4486013191923,Shared room,Midtown,14,183,2024-08-23
1213,Listing 213,$84.87,37.74424580384103,-122.4030166035107,Private room,Harbor,25,241,2023-12-05
1214,Listing 214,$263.85,37.720518144640714,-122.41496474342205,Private room,Riverside,40,93,2024-05-02
1215,Listing 215,$233.10,37.78505386918743,-122.39440889405913,Shared room,Old Town,23,230,2023-04-02
1216,Listing 216,$74.36,37.813666937975064,-122.37867702743301,Private room,Riverside,19,241,2023-02-07
1217,Listing 217,$195.81,37.798796062987584,-122.45136883680776,Shared room,Downtown,44,206,2023-04-20
1218,Listing 218,$143.52,37.7743300483557,-122.42060875796582,Private room,Midtown,69,142,2023-04-26
1219,Listing 219,$151.31,37.73624942625398,-122.42410855289677,Shared room,Harbor,34,335,2023-10-30
1220,Listing 220,$98.89,37.8097042761784,-122.38730101747237,Shared room,Downtown,51,167,2023-05-24
1221,Listing 221,$252.61,37.75236016700851,-122.44519529163328,Shared room,Riverside,27,350,2023-12-04
1222,Listing 222,$108.67,37.746155315081545,-122.43404479094389,Private room,Downtown,15,150,2023-06-13
1223,Listing 223,$190.27,37.788607361989115,-122.37768939860528,Shared room,Harbor,49,334,2023-10-30
1224,Listing 224,$144.71,37.73335687821968,-122.45468144353109,Shared room,Riverside,18,140,2024-07-04
1225,Listing 225,$68.91,37.79618596199711,-122.40196580800806,Entire home/apt,Midtown,2,246,2023-03-21
1226,Listing 226,$71.66,37.770548705609265,-122.41272983257721,Private room,Uptown,32,148,2023-04-30
1227,Listing 227,$100.69,37.79169179661807,-122.42111720331688,Hotel room,Downtown,7,231,2024-04-12
1228,Listing 228,$31.06,37.75081695640332,-122.46782295421067,Shared room,Downtown,16,196,2023-02-16
1229,Listing 229,$186.86,37.75445288665622,-122.4636240087888,Entire home/apt,Downtown,41,191,2023-10-21
1230,Listing 230,$202.30,37.784152500017235,-122.3970710500733,Hotel room,Old Town,32,288,2024-01-22
1231,Listing 231,$199.56,37.72802499926294,-122.37358556236194,Private room,Harbor,29,165,2024-07-04
1232,Listing 232,$184.13,37.74226902159663,-122.46965267050551,Entire home/apt,Old Town,20,60,2024-03-10
1233,Listing 233,$303.67,37.75792764680338,-122.44703359332121,Hotel room,Old Town,30,248,2023-04-26
1234,Listing 234,$48.81,37.79660534675139,-122.38162433781547,Entire home/apt,Uptown,10,211,2023-02-04
1235,Listing 235,$254.44,37.779778489673156,-122.39967137331351,Entire home/apt,Uptown,24,108,2023-08-28
1236,Listing 236,$304.08,37.72564440350245,-122.41961041510591,Shared room,Uptown,54,258,2023-11-23
1237,Listing 237,$135.15,37.74369040347767,-122.38237416778261,Private room,Riverside,23,230,2023-06-29
1238,Listing 238,$197.09,37.75444148297726,-122.40566839346936,Hotel room,Midtown,23,160,2023-06-02
1239,Listing 239,$129.42,37.757646018850714,-122.39455839027619,Hotel room,Uptown,32,138,2023-05-28
1240,Listing 240,$261.06,37.81677861885466,-122.41427132418008,Private room,Riverside,15,202,2023-03-22
1241,Listing 241,$256.74,37.80471333859197,-122.46075360034732,Private room,Downtown,22,333,2023-02-10
1242,Listing 242,$66.42,37.79243052398522,-122.41411495237274,Hotel room,Uptown,48,255,2023-01-16
1243,Listing 243,$83.42,37.813715976320225,-122.37379224438855,Entire home/apt,Harbor,42,199,2023-09-06
1244,Listing 244,$84.11,37.75216150088274,-122.44169408024798,Hotel room,Midtown,31,154,2024-01-04
1245,Listing 245,$293.09,37.808281195236205,-122.42339959330961,Hotel room,Old Town,37,155,2024-02-28
1246,Listing 246,$38.47,37.734592271310255,-122.44392258900902,Hotel room,Old Town,20,246,2024-01-24
1247,Listing 247,$97.32,37.76993014823694,-122.4045392033879,Shared room,Old Town,26,96,2024-05-17
1248,Listing 248,$258.75,37.73692657108602,-122.39796864692379,Hotel room,Uptown,48,297,2023-03-02
1249,Listing 249,$293.77,37.723382375716476,-122.38533026168173,Entire home/apt,Downtown,0,290,2023-08-25
1250,Listing 250,$59.64,37.770573291969306,-122.43267993073133,Hotel room,Harbor,23,189,2024-07-18
1251,Listing 251,$200.09,37.72118509681279,-122.41705823531584,Shared room,Midtown,27,197,2024-03-16
1252,Listing 252,$78.52,37.73488974857403,-122.45080679430085,Shared room,Old Town,29,190,2024-01-18
1253,Listing 253,$210.00,37.76589977455512,-122.4456792105807,Private room,Old Town,13,40,2023-02-02
1254,Listing 254,$51.94,37.76760051001319,-122.40632519244444,Private room,Downtown,33,103,2023-12-06
1255,Listing 255,$60.01,37.809479121214274,-122.37808477845599,Private room,Uptown,43,119,2024-08-03
1256,Listing 256,$247.00,37.788442874346366,-122.44196269862405,Entire home/apt,Uptown,58,270,2023-08-01
1257,Listing 257,$71.24,37.79522544698469,-122.39872886000506,Hotel room,Downtown,19,310,2024-08-03
1258,Listing 258,$194.48,37.7583846214083,-122.39602548290793,Entire home/apt,Midtown,8,197,2023-04-11
1259,Listing 259,$190.79,37.74321440043947,-122.46239817534344,Hotel room,Old Town,36,213,2024-04-06
1260,Listing 260,$251.74,37.757542699599156,-122.45142621541046,Hotel room,Downtown,43,210,2023-09-10
1261,Listing 261,$51.71,37.72820380096732,-122.45457790361345,Private room,Harbor,14,254,2023-04-04
1262,Listing 262,$55.16,37.7961346491201,-122.45977685858868,Entire home/apt,Uptown,19,95,2024-06-08
